,US Large Cap Equities,US Small Cap Equities,US Investment Grade Bonds,US High Yield Bonds,US Bank Loans,Developed Country Equities,Emerging Market Equities,Emerging Market Debt,Sentiment Score
2007-07-31,792.114,776.145,1632.028,577.048,1708.92,2227.5,1112.77,528.028,0.076379
2007-08-01,796.931,777.942,1632.614,574.831,1702.46,2186.97,1074.65,528.3659,0.100177
2007-08-02,800.905,784.005,1633.805,577.531,1702.34,2198.42,1080.9,530.3893,0.102196
2007-08-03,779.769,755.433,1638.729,577.823,1703.24,2193.21,1080.33,530.6006,0.095352
2007-08-06,796.807,766.403,1634.398,576.36,1704.17,2179.44,1058.72,530.5864,0.082913
2007-08-07,801.962,774.133,1633.782,578.114,1705.0,2192.98,1063.42,531.9105,0.064627
2007-08-08,813.083,795.598,1624.503,582.181,1709.17,2232.07,1093.45,532.9745,0.067535
2007-08-09,789.652,784.872,1629.835,581.808,1712.76,2200.05,1079.36,532.7378,0.076058
2007-08-10,789.713,788.776,1629.656,580.22,1712.59,2131.95,1043.57,532.0552,0.067168
2007-08-13,789.795,779.807,1631.368,581.812,1713.55,2156.88,1054.14,532.6639,0.024979
2007-08-14,775.351,762.871,1634.044,581.474,1714.8,2135.56,1038.97,531.49,0.007686
2007-08-15,763.665,751.544,1633.195,579.923,1714.15,2103.79,1014.01,528.4975,0.001805
2007-08-16,764.964,768.832,1640.078,575.627,1711.95,2039.86,956.86,525.1722,0.000169
2007-08-17,783.625,786.029,1633.201,577.092,1711.21,2056.1,957.96,526.3582,0.002571
2007-08-20,784.08,787.452,1636.877,578.215,1711.39,2081.67,993.69,525.9899,-0.023913
2007-08-21,785.439,788.381,1640.92,579.051,1711.08,2093.65,991.87,526.3077,-0.031368
2007-08-22,795.11,798.56,1637.805,580.668,1710.87,2119.69,1017.42,528.7669,-0.045672
2007-08-23,794.184,788.253,1639.595,582.415,1712.02,2144.97,1035.28,529.6065,-0.037811
2007-08-24,803.489,798.929,1639.135,582.549,1712.09,2155.8,1039.79,530.3362,-0.033308
2007-08-27,796.65,789.45,1643.396,583.4,1713.13,2162.82,1059.35,531.7217,-0.034297
2007-08-28,778.024,767.832,1648.871,582.888,1713.04,2137.73,1050.4,531.0754,-0.042581
2007-08-29,794.912,787.319,1646.255,582.506,1712.87,2135.38,1047.95,532.3102,-0.058105
2007-08-30,791.91,783.112,1650.343,582.843,1712.63,2153.5,1061.67,532.7498,-0.048618
2007-08-31,801.222,792.861,1648.098,583.48,1712.89,2187.29,1086.98,533.0486,-0.044692
2007-09-04,809.948,800.689,1647.111,584.193,1714.1,2194.75,1090.91,535.02,-0.035201
2007-09-05,801.04,790.455,1655.044,585.138,1714.74,2170.82,1085.15,534.6399,-0.033493
2007-09-06,804.333,792.923,1651.362,585.468,1715.0,2181.94,1093.9,534.7649,-0.041329
2007-09-07,790.937,775.786,1661.542,585.433,1715.68,2160.69,1088.49,535.238,-0.049904
2007-09-10,789.351,769.813,1664.144,585.394,1716.79,2138.93,1075.4,535.8039,-0.122583
2007-09-11,799.976,782.269,1659.68,585.338,1716.59,2170.2,1087.93,536.8918,-0.146254
2007-09-12,800.023,777.904,1655.06,585.609,1717.39,2180.22,1089.75,537.2398,-0.152497
2007-09-13,806.32,780.35,1647.881,586.371,1718.13,2187.41,1101.36,538.0296,-0.157025
2007-09-14,806.905,783.485,1650.017,586.787,1719.26,2179.71,1107.74,539.5231,-0.162405
2007-09-17,802.519,775.809,1650.897,588.132,1721.76,2155.11,1098.63,539.7722,-0.19132
2007-09-18,825.692,806.628,1651.143,590.34,1725.23,2162.14,1108.01,542.6025,-0.185639
2007-09-19,830.611,817.396,1648.871,593.706,1730.22,2236.83,1145.65,544.3701,-0.180025
2007-09-20,825.254,809.761,1638.669,592.829,1733.78,2250.84,1153.68,543.2686,-0.173261
2007-09-21,828.962,813.113,1645.307,595.06,1736.06,2250.86,1161.14,544.2926,-0.182836
2007-09-24,824.747,805.797,1648.832,597.008,1738.7,2255.33,1174.71,544.6326,-0.173963
2007-09-25,824.507,803.001,1650.347,596.165,1740.18,2249.07,1170.09,544.6043,-0.168887
2007-09-26,829.137,809.121,1650.79,597.251,1742.29,2257.65,1181.42,544.6376,-0.165213
2007-09-27,832.948,814.006,1656.63,597.817,1744.95,2288.25,1202.89,545.1654,-0.139432
2007-09-28,830.593,805.45,1656.791,597.475,1745.6,2300.38,1204.9,545.3834,-0.150893
2007-10-01,841.565,824.762,1659.583,597.891,1746.79,2313.66,1218.05,546.0298,-0.137118
2007-10-02,841.744,831.974,1662.22,598.57,1747.6,2319.15,1244.23,546.946,-0.143479
2007-10-03,837.95,826.149,1662.141,599.152,1748.46,2323.62,1233.37,546.8935,-0.124268
2007-10-04,839.617,829.152,1665.697,600.046,1749.61,2319.96,1226.06,547.0533,-0.104311
2007-10-05,848.072,844.875,1656.225,600.235,1750.63,2336.47,1246.04,546.8462,-0.124337
2007-10-09,852.316,845.721,1657.53,602.072,1753.35,2336.51,1260.52,547.926,-0.068409
2007-10-10,851.239,845.186,1659.563,602.992,1755.56,2347.41,1271.44,548.2484,-0.061837
2007-10-11,846.624,834.98,1660.444,604.279,1757.84,2372.63,1289.46,549.1613,-0.057481
2007-10-12,850.774,841.169,1658.551,604.419,1760.47,2360.6,1276.5,549.4518,-0.05976
2007-10-15,843.7,829.357,1660.78,605.397,1762.63,2350.84,1290.46,549.7398,-0.04652
2007-10-16,837.989,823.346,1662.061,603.905,1763.99,2319.49,1274.63,550.0177,-0.061266
2007-10-17,839.449,824.893,1671.764,603.178,1763.91,2328.53,1279.87,550.8631,-0.076042
2007-10-18,838.998,825.033,1675.02,601.212,1762.98,2336.51,1279.07,551.808,-0.080052
2007-10-19,817.793,798.791,1683.594,600.135,1762.76,2315.36,1263.26,551.8085,-0.080099
2007-10-22,821.054,810.081,1682.727,599.657,1760.11,2270.02,1234.29,551.8555,-0.024554
2007-10-23,828.306,818.534,1682.941,600.99,1760.38,2301.99,1268.7,552.2629,0.003959
2007-10-24,826.318,810.849,1688.664,601.093,1761.19,2291.93,1265.33,552.8272,0.001613
2007-10-25,825.14,806.108,1686.211,601.037,1761.82,2315.53,1284.0,553.458,0.000301
2007-10-26,836.128,821.394,1683.615,600.723,1762.13,2349.17,1311.52,554.3105,0.006095
2007-10-29,839.502,821.716,1685.124,601.261,1763.17,2376.3,1338.49,555.6535,-0.01988
2007-10-30,834.042,816.151,1684.394,601.234,1763.14,2367.69,1331.97,555.7433,-0.030513
2007-10-31,844.196,828.019,1675.352,601.359,1763.04,2388.74,1337.45,556.6347,-0.032565
2007-11-01,822.61,795.176,1684.126,600.21,1763.04,2367.3,1327.89,556.72,-0.034913
2007-11-02,823.06,797.783,1688.326,599.673,1762.02,2344.68,1310.15,556.9755,-0.045221
2007-11-05,818.349,790.437,1683.644,598.641,1762.18,2321.74,1286.14,555.536,-0.050773
2007-11-06,828.177,801.77,1678.856,598.621,1761.07,2339.63,1304.68,555.7251,-0.068261
2007-11-07,804.635,775.96,1677.763,597.276,1760.05,2344.04,1303.26,553.9592,-0.068182
2007-11-08,804.441,780.897,1679.843,595.483,1754.44,2321.35,1282.06,553.1005,-0.063323
2007-11-09,792.856,772.382,1682.693,593.806,1753.08,2293.28,1278.03,553.206,-0.07692
2007-11-13,805.997,789.155,1677.983,592.09,1751.84,2271.91,1240.25,552.9463,-0.086835
2007-11-14,800.561,782.471,1677.166,592.806,1751.22,2303.05,1279.91,553.3145,-0.094724
2007-11-15,790.457,771.599,1685.657,590.679,1751.12,2272.88,1264.67,552.8435,-0.089047
2007-11-16,794.305,769.496,1685.015,588.296,1749.38,2248.99,1245.8,551.9674,-0.089134
2007-11-19,780.283,750.335,1689.711,585.219,1747.13,2216.12,1227.05,551.7627,-0.050334
2007-11-20,783.196,749.334,1688.606,583.54,1743.9,2249.98,1228.45,551.5598,-0.021633
2007-11-21,771.247,740.315,1691.297,581.656,1741.86,2204.46,1188.45,549.2814,-0.049711
